Configuration,N_runs,P3 (Mean ± Std),P4 (Mean ± Std),P5 (Mean ± Std),P6 (Mean ± Std),95% CI (P5),p-value vs Linear,Cohen's d
"FOP_MAV (Linear, AdamW)",12,99.48 ± 0.09%,87.19 ± 0.18%,98.14 ± 0.18%,85.63 ± 0.17%,"[98.04%, 98.22%]",1.0000,0.00
"MultiBranchFOP (Attention, AdamW)",12,99.79 ± 0.08%,93.24 ± 0.17%,80.84 ± 0.25%,87.48 ± 0.23%,"[80.71%, 80.96%]",5.23e-34,80.07
